Species,Weight,Length1,Length2,Length3,Height,Width
Rainbow Trout,245,23.2,25.4,30,11.52,4.02
Rainbow Trout,290,24,26.3,31.2,12.48,4.3056
Rainbow Trout,335,23.9,26.5,31.1,12.3778,4.6961
Rainbow Trout,380,26.3,29,33.5,12.73,4.4555
Rainbow Trout,425,26.5,29,34,12.444,5.134
Rainbow Trout,470,26.8,29.7,34.7,13.6024,4.9274
Rainbow Trout,515,27.9,29.7,34.5,14.1795,5.2785
Rainbow Trout,560,28.70380952,30,35,12.67,4.69
Rainbow Trout,605,29.50095238,30,35.1,14.0049,4.8438
Rainbow Trout,650,30.29809524,30.7,36.2,14.2266,4.9594
Rainbow Trout,695,31.0952381,31,36.2,14.2628,5.1042
Rainbow Trout,740,31.89238095,31,36.2,14.3714,4.8146
Rainbow Trout,785,32.68952381,31.5,36.4,13.7592,4.368
Rainbow Trout,830,33.48666667,32,37.3,13.9129,5.0728
Rainbow Trout,875,34.28380952,32,37.2,14.9544,5.1708
Rainbow Trout,920,35.08095238,32,37.2,15.438,5.58
Rainbow Trout,965,35.87809524,33,38.3,14.8604,5.2854
Rainbow Trout,1010,36.6752381,33,38.5,14.938,5.1975
Rainbow Trout,1055,37.47238095,33.5,38.6,15.633,5.1338
Rainbow Trout,1100,38.26952381,33.5,38.7,14.4738,5.7276
Rainbow Trout,1145,39.06666667,34,39.5,15.1285,5.5695
Rainbow Trout,1190,39.86380952,34,39.2,15.9936,5.3704
Rainbow Trout,1235,40.66095238,34.5,39.7,15.5227,5.2801
Rainbow Trout,1280,41.45809524,35,40.6,15.4686,6.1306
Rainbow Trout,1325,42.2552381,35,40.5,16.2405,5.589
Rainbow Trout,1370,43.05238095,35,40.9,16.36,6.0532
Rainbow Trout,1415,43.84952381,35,40.6,16.3618,6.09
Rainbow Trout,1460,44.64666667,36,41.5,16.517,5.8515
Rainbow Trout,1505,45.44380952,36,41.6,16.8896,6.1984
Rainbow Trout,1550,46.24095238,37,42.6,18.957,6.603
Rainbow Trout,1595,47.03809524,38.5,44.1,18.0369,6.3063
Rainbow Trout,1640,47.8352381,38.5,44,18.084,6.292
Rainbow Trout,1685,48.63238095,39.5,45.3,18.7542,6.7497
Rainbow Trout,1730,49.42952381,41,45.9,18.6354,6.7473
Rainbow Trout,1775,50.22666667,41,46.5,17.6235,6.3705
white bass,40,12.9,14.1,16.2,4.1472,2.268
white bass,69,16.5,18.2,20.3,5.2983,2.8217
white bass,78,17.5,18.8,21.2,5.5756,2.9044
white bass,87,18.2,19.8,22.2,5.6166,3.1746
white bass,120,18.6,20,22.2,6.216,3.5742
white bass,0,19,20.5,22.8,6.4752,3.3516
white bass,110,19.1,20.8,23.1,6.1677,3.3957
white bass,120,19.4,21,23.7,6.1146,3.2943
white bass,150,20.4,22,24.7,5.8045,3.7544
white bass,145,20.5,22,24.3,6.6339,3.5478
white bass,160,20.5,22.5,25.3,7.0334,3.8203
white bass,140,21,22.5,25,6.55,3.325
white bass,160,21.1,22.5,25,6.4,3.8
white bass,169,22,24,27.2,7.5344,3.8352
white bass,161,22,23.4,26.7,6.9153,3.6312
white bass,200,22.1,23.5,26.8,7.3968,4.1272
white bass,180,23.6,25.2,27.9,7.0866,3.906
white bass,290,24,26,29.2,8.8768,4.4968
white bass,272,25,27,30.6,8.568,4.7736
white bass,390,29.5,31.7,35,9.485,5.355
Goldfish,270,23.6,26,28.7,8.3804,4.2476
Goldfish,270,24.1,26.5,29.3,8.1454,4.2485
Goldfish,306,25.6,28,30.8,8.778,4.6816
Goldfish,540,28.5,31,34,10.744,6.562
Goldfish,800,33.7,36.4,39.6,11.7612,6.5736
Goldfish,1000,37.3,40,43.5,12.354,6.525
Perch,55,13.5,14.7,16.5,6.8475,2.3265
Perch,60,14.3,15.5,17.4,6.5772,2.3142
Perch,90,16.3,17.7,19.8,7.4052,2.673
Perch,120,17.5,19,21.3,8.3922,2.9181
Perch,150,18.4,20,22.4,8.8928,3.2928
Perch,140,19,20.7,23.2,8.5376,3.2944
Perch,170,19,20.7,23.2,9.396,3.4104
Perch,145,19.8,21.5,24.1,9.7364,3.1571
Perch,200,21.2,23,25.8,10.3458,3.6636
Perch,273,23,25,28,11.088,4.144
Perch,300,24,26,29,11.368,4.234
Parkki,5.9,7.5,8.4,8.8,2.112,1.408
Parkki,32,12.5,13.7,14.7,3.528,1.9992
Parkki,40,13.8,15,16,3.824,2.432
Parkki,51.5,15,16.2,17.2,4.5924,2.6316
Parkki,70,15.7,17.4,18.5,4.588,2.9415
Parkki,100,16.2,18,19.2,5.2224,3.3216
Parkki,78,16.8,18.7,19.4,5.1992,3.1234
Parkki,80,17.2,19,20.2,5.6358,3.0502
